Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	73.88113549365106	29.59124279060643	13.186345756588835	0.048142731088344506	9772	296	0.3576934936786926	0.0	11364	0.0	0.0	13.1	1	0.13855310768061294	accepted	n/a
PCA_01	41.22897299220308	50.43906383149907	9.920209513464696	0.03840503053205088	7384	17567	0.38725557226856283	0.44647542675196794	5468	-12.230014702119393	4.2760378857333785e-34	9.0	-1	0.11184487751672645	accepted	n/a
PCA_02	48.07532306548684	30.219923665270898	10.159570255032973	0.023480539677427237	4945	366	0.31344195519348267	0.0	8861	11.00837797999996	4.2474978269033216e-27	6.6	-1	0.07189996412410206	accepted	n/a
PCA_03	41.624109017235455	35.64740846521044	8.782685279954002	0.02116502473453066	1314	277	0.22699386503067484	0.0	9280	0.8384681008548663	0.4025725996666022	14.8	-1	0.05604227494008687	accepted	n/a
PCA_04	49.61922420272679	31.85905453998779	8.165022504979177	0.020693411738186864	6555	695	0.36443331246086413	0.0	9035	22.96323487221641	4.597330626683683e-102	8.0	-1	0.06015270924921297	accepted	n/a
PCA_05	56.5862426220488	28.444201646857657	5.773856524721622	0.01764278382773703	5666	0	0.371451313345715	0.0	8521	13.407961915642963	6.073975002865323e-40	3.0	1	0.044947208900743725	accepted	n/a
PCA_06	53.05368903144677	25.21554420717633	4.040812795637826	0.014261414226797234	3774	0	0.36545853926414057	0.0	7772	13.234603269469954	6.148257087769647e-39	3.2	1	0.03589613519386581	accepted	n/a
PCA_07	40.02502097676796	28.119525397143423	2.905635164659961	0.012978352332123041	234	193	0.0	0.0	9008	-6.1715546155226955	1.67474502587673e-09	20.2	-1	0.03307121895059238	accepted	n/a
PCA_08	46.91611914749346	23.10584580139625	2.8077562974198895	0.011015761329339386	3097	195	0.0	0.0	7553	12.059643357993536	9.316725793904361e-33	7.8	1	0.02794094223438019	accepted	n/a
PCA_09	49.75674567269527	22.81274563421273	2.569981076722005	0.010553292745150942	3010	0	0.4090380461870743	0.0	7509	11.978528310604652	2.697384229495366e-32	3.2	-1	0.026301336988698958	accepted	n/a
PCA_10	32.193811782944636	25.694524460459892	2.090409578689551	0.009363138654069647	424	0	0.0	0.0	8262	2.4890120689399975	0.012974190481026316	13.0	1	0.02352827603724032	accepted	n/a
PCA_11	34.79990754595295	24.403595207322738	1.9241347339713717	0.008787148910730087	929	377	0.0	0.0	8428	7.111962238000205	1.93916847400269e-12	11.4	1	0.021839265997503684	accepted	n/a
PCA_12	33.025378162829206	25.67951456762975	1.7575957360884404	0.008565222536052722	127	0	0.0	0.0	8919	1.600306386073527	0.11300626117450276	16.9	1	0.02128601683979748	accepted	n/a
PCA_13	34.29163755862915	21.840648465184184	1.777527963554611	0.007893658835681869	962	0	0.0	0.0	8276	10.772384627956558	9.048054007824577e-26	10.6	-1	0.01939889943300896	accepted	n/a
PCA_14	31.333740447186017	21.347776206263184	1.7052005046527856	0.0074254138373188085	0	0	0.0	0.0	9016	0.0	0.0	23.1	-1	0.0184717617232334	accepted	n/a
PCA_15	30.49858403815712	21.064601005899668	1.6353110817057532	0.007341443410217549	0	111	0.0	0.0	8953	1.3533892672098464	0.17860014770608199	20.6	-1	0.0181109606292956	accepted	n/a
PCA_16	28.407852478770295	21.86093282725989	1.803311618612657	0.007148813987592889	101	0	0.0	0.0	9104	0.0	0.0	22.9	-1	0.01751786041100677	accepted	n/a
PCA_17	27.1248997045734	21.495443080867933	1.5245720786808665	0.006917012962153193	112	0	0.0	0.0	9011	0.0	0.0	21.9	-1	0.017204377940472776	accepted	n/a
PCA_18	24.84626677901196	21.679992474344523	1.4669104745244754	0.006705945262169609	132	0	0.0	0.0	8917	0.0	0.0	19.8	-1	0.016436239040228937	accepted	n/a
PCA_19	26.60236298196303	19.77439138300539	1.3837625440000147	0.0066222897298160366	0	0	0.0	0.0	8926	4.271532905284466	4.4601159583268063e-05	20.2	1	0.016244842478791315	accepted	n/a
PCA_20	24.151259493899982	21.60845688292678	1.4068233904434388	0.006422585870954526	138	115	0.0	0.0	8969	0.0	0.0	21.3	1	0.015908347560597905	accepted	n/a
PCA_21	27.464381682411087	19.773203217148172	1.2791261612756997	0.006317139005691136	127	0	0.0	0.0	8668	7.826861010187647	4.263056954097224e-14	14.3	1	0.015730225315292327	accepted	n/a
PCA_22	23.504016332590222	20.51482489514859	1.0675238315894449	0.006107915274001503	0	0	0.0	0.0	8924	0.0	0.0	23.5	1	0.015306500840079439	accepted	n/a
PCA_23	25.50076388925791	19.09920041411632	1.1295191695622893	0.006000626043397374	128	0	0.0	0.0	8732	7.009662985224372	4.515492205546275e-11	15.4	1	0.014707721491190722	accepted	n/a
PCA_24	22.34302683223169	18.609522500755492	1.0227578825512003	0.005744624397096271	0	0	0.0	0.0	8896	0.0	0.0	22.9	1	0.014022327034276026	accepted	n/a
PCA_25	23.834095175867628	17.902918406147574	0.9691623317562691	0.005616813968234688	0	0	0.0	0.0	8928	3.6016584492555794	0.00043806514760450817	21.4	1	0.013907116217549892	accepted	n/a
PCA_26	22.583299927097748	17.66082524986344	0.9471464402605992	0.005546274695983865	0	0	0.0	0.0	8912	0.0	0.0	22.9	1	0.01356288055921468	accepted	n/a
PCA_27	21.90184737311916	18.51995550786518	0.9736301152739867	0.005471212636054647	0	0	0.0	0.0	8659	5.825821706110616	7.235181944014622e-08	19.4	-1	0.01339749874631934	accepted	n/a
PCA_28	22.27354045680265	17.4894794808677	0.856524993689892	0.005279014623093423	0	0	0.0	0.0	9023	0.0	0.0	25.9	-1	0.012904869901280583	accepted	n/a
PCA_29	20.784991143160568	17.43126774346841	0.8348786229945275	0.0052310309893415985	0	0	0.0	0.0	8862	6.710348297517275	1.40038258087593e-09	20.6	-1	0.01275154880603472	accepted	n/a
